text_original,text_clean,label,video_id,title,channel_name,tanggal,author,source
Lah GK semua orng punya duit​@javhdtoday,lah gk semua orng punya duitjavhdtoday,0,,,,,,dataset_kaggle
Sehat selalu dan banyak rezeki Weton88,sehat selalu dan banyak rezeki weton8,1,,,,,,judi_online
Kita????,kita,0,,,,,,dataset_kaggle
"02:41 ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bener-bener next level! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Ceritanya relate, gameplay-nya mantap! 💖",mona 4d bener bener next level cuma soal menang alam nyentuh hati cerita relate gameplay nya mantap,1,,,,1758328456.04814,@AnhTamDinh-i3e,dataset_komentarJudol
HAHHAHAHAHHAHA,hahhahahahhaha,0,,,,,,dataset_kaggle
Apakah garis khatulistiwa bisa bergeser atau menghilang?,apakah garis khatulistiwa bisa bergeser atau menghilang,0,,,,,,dataset_kaggle
Seremnya itu kalo ganti LCD pasti yahud harganya,seremnya itu kalo ganti lcd pasti yahud harganya,0,,,,,,dataset_kaggle
ternyata mamayi suka nonton bang windah jugaa😢😂,ternyata mamayi suka nonton bang windah jugaa,0,,,,,,dataset_kaggle
Banh minta 2 box doan,banh minta 2 box doan,0,,,,,,dataset_kaggle
"MAACIH MAMARI UDH UPLOAD TIAP HARI DAN NGOBATIN KANGEN SM TIMNAS JUGA,LEGA TAHU KALIAN BAIK2 SAJA,DOAIN BISA KE BELANDA JUGA❤",maacih mamari udh upload tiap hari dan ngobatin kangen sm timnas juga lega tahu kalian baik2 saja doain bisa ke belanda juga,0,,,,,,dataset_kaggle
coba buy spin 20k maxwin kwkwkkw makasih weton88 nyata emng,coba buy spin 20k maxwin kwkwkkw makasih weton88 nyata emng,1,5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,RyleighDelatorre-p9o,data_clean_final
Main motor xmax sekali modif langsung tamat kek nya😭😭,main motor xmax sekali modif langsung tamat kek nya,0,BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.163.315.540,donnyaprianto6652,data_clean_final
"13:59  US banget ya, ternyata di US pakek SNI juga ta 😂",13 59 us banget ya ternyata di us pakek sni juga ta,0,nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.665.957.860,dale_XD,data_clean_final
atas bawah pada mandalika77 ternyata bnrn gacir bre,atas bawah pada mandalika77 ternyata bnrn gacir bre,1,-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.997.872.773.881,FadimeYusuf-c3h,data_clean_final
Tololl,tololl,0,,,,,,dataset_kaggle
"Strateginya ciamik, bisa jadi inspirasi ❤𝐌𝐀𝐁𝐀𝐑𝟖𝟖❤ 👀🔥",strategi ciamik jadi inspirasi mabar88,1,,,,1758241945.45203,@ameeel-m1n,dataset_komentarJudol
"temen gue rekomendasiin 𝘼𝙇𝙀𝙓𝙄𝙎17 , mantap .",temen gue rekomendasiin alexis17 mantap,1,rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,DediKhairunnisa-f5v,data_clean_final
gue udah nemu jalan ninja gue : a.l.e.x.i.s.1.7,gue udah nemu jalan ninja gue a l e x i s 1 7,1,aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,atmafabian,data_clean_final
KAYA FILM  banget padahal cuman video ini dibikin dengan hati.🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎Setiap detilnya gak asal !!,kaya film banget padahal cuman video bikin hati probet855 detilnya gak asal,1,,,,1756751633.6128,@AnhDo-i1n,dataset_komentarJudol
"Videonya kocak banget! 😂
Tadi abis scroll 🅳🅴🅰🅻🅼🅰🆇🆆🅸🅽, eh nyasar ke sini. Worth it!",video kocak banget tadi abis scroll dealmaxwin eh nyasar sini worth it,1,,,,1757443367.87602,@logindadu13,dataset_komentarJudol
💚🌈💚🌊 main di 𝐑𝐔𝐏𝐈𝐀𝐇𝟖𝟖 member baru bonus 200% masuk di awal tanpa TO 💚🌈💚🌊,main rupiah88 member baru bonus200 masuk awal to,1,,,,1755194937.77198,@iankelly-y3o,dataset_komentarJudol
"Dulu galau ditinggal mantan, sekarang bahagia sama saldo di 𝑽𝑰𝑪𝑻𝑶𝑹𝒀𝟎𝟎𝟕",dulu galau ditinggal mantan sekarang bahagia dengan saldo di victory007,1,,,,,,judi_online
"hai mamari,mayi,jucaaa ❤❤❤",hai mamari mayi jucaa,0,,,,,,dataset_kaggle
Halo bg,halo bg,0,,,,,,dataset_kaggle
Aku bisa bang udah like sama,aku bisa bang udah like sama,0,,,,,,dataset_kaggle
"Dibilang mager, padahal lagi buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.",dibilang malas padahal lagi buka pulauwin,1,,,,,,judi_online
"Gak cuma konten, tapi karya seni!!🏴‍☠️𝓟𝓡𝓞𝓑𝓔𝓣855🏴‍☠️",gak cuma konten karya seni probet855,1,,,,1757875404.47168,@ThuyHongQuach-p8r,dataset_komentarJudol
"jepey 𝗦𝗚𝗜𝟴𝟴 , beneran !",jepey sgi88 beneran,1,CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,haylietia-q7i,data_clean_final
"RRQ SEKARANG BUKAN RAJA DARI SEGALA RAJA,,TAPI BADUT DARI SEGALA BADUT 🤡🤡🤡🤡",rrq sekarang bukan raja dari segala raja tapi badut dari segala badut,0,,,,,,dataset_kaggle
cuman 𝐁𝐔𝐊𝐈𝐓𝟖𝟖𝟖 sihh no debat tmenku smua main dsini...jossss,cuman bukit888 sihh no debat tmenku smua main dsini jossss,1,kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.009.707.350,NydiaLuther,data_clean_final
"C.O.S.M.I.C.S.P.A.C.E.17 kualitas premium, harga bersahabat.",,1,,,,,,hardsell
Sebenarnya apa keunggulan iphone dibandingkan dengan flagship andorid ya?,sebenarnya apa keunggulan iphone dibandingkan dengan flagship andorid ya,0,,,,,,dataset_kaggle
Mantap! 𝗧𝗶𝗺𝗼𝟰𝗗,mantap timo4d,1,,,,1757356769.61394,@LinhHo-k3x,dataset_komentarJudol
ALEXIS-17☯ tuh emang bener-bener ngebantu banget pas gua lagi bokek,alexis 17 tuh emang bener bener ngebantu banget pas gua lagi bokek,1,4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.164.787.766.250,SitiWicaksono-v1i,data_clean_final
Kok segitunya kayaknya gak lah kalau masalah dokumen.segitunya😂,kok segitunya kayaknya gak lah kalau masalah dokumen segitunya,0,,,,,,dataset_kaggle
mending bang coba di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 selama ini di bayar wede w !! gak pernah bermasalah,mending kakak coba di weton88 selama ini di bayar wede saya tidak pernah bermasalah,1,,,,,,judi_online
Beneran aku coba main disitus lain kayak sedot wd main di *GUNUNGWIN* langsung wd alhamdulliah,benaran aku coba main disitus lain seperti sedot withdraw main di gunungwin langsung withdraw alhamdulliah,1,,,,,,judi_online
64DUN5107 Titip salam Akun ini bikin algoritma YouTube-ku waras lagi. Akhirnya nemu konten lucu tapi gak norak!!,,1,,,,,,hardsell
"Anjay keren, di ALEXIS17 bisa main slot sambil nge-Funimation.",astaga keren di alexis17 bisa main permainan judi sambil nge funimation,1,,,,,,judi_online
Bayangin lemnya kena ke baju yang mau dipake,bayangin lemnya kena ke baju yang mau dipake,0,,,,,,dataset_kaggle
"Kontennya bikin betah, 💫SGI 𝟴𝟴 💫 juga bikin betah sampe pagi. 🌄",konten bikin betah sgi88 bikin betah sampe pagi,1,,,,1755195345.30769,@robbycushman,dataset_komentarJudol
"Foto depan piala udah keren, apalagi kalo Indo beneran juara! 🇮🇩✨",foto depan piala udah keren apalagi kalo indo beneran juara id,0,,,,,,dataset_kaggle
"Masyaallah masyaallah aku bangga bngetttt sama kamu qeel, sehat selalu ,karir kamu makin sukses mkin bnyak yg syang sama kamu ...",masyaallah masyaallah aku bangga bngett sama kamu qeel sehat selalu karir kamu makin sukses mkin bnyak yg syang sama kamu,0,,,,,,dataset_kaggle
music really unites us. the nusantara fam ❤,music really unites us the nusantara fam,0,,,,,,dataset_kaggle
Makasih ketua tadi mlm di poto bareng di bogor makasih banyak bang🙏,makasih ketua tadi mlm di poto bareng di bogor makasih banyak bang,0,,,,,,dataset_kaggle
"Afwan Ustaz, rquest materi tntang solat jamak ketika hujan deras 🙏🏾",afwan ustaz rquest materi tntang solat jamak ketika hujan deras,0,,,,,,dataset_kaggle
24:47 EPISODE SELESAI,24 47 episode selesai,0,f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.419.440.533.910,weidisee7985,data_clean_final
full roasting😂,full roasting,0,,,,,,dataset_kaggle
"А𝐗𝐿𝟳7𝟽 tiap maen pasti ada aja jackpot, luar biasa",xl777 tiap maen pasti ada aja jackpot luar biasa,1,nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.678.184.400,AirshadMello-o9s,data_clean_final
explore pulau papua ..,explore pulau papua,1,wbaneF-1auo,1M JOURNEY BORNEO 360: PANGKALAN BUN LUAR BIASA!,Ridwan Hanif,2025-05-03 03:01:07+00:00,kusdianto5484,data_clean_final
Aqela buat konten sama herry dong yang konten membaca komen tentang harqel dong,aqela buat konten sama herry dong yang konten membaca komen tentang harqel dong,0,,,,,,dataset_kaggle
