text_original,text_clean,label,video_id,title,channel_name,tanggal,author,source
Tengkyu brok ini yg gua cari 😊,tengkyu brok ini yg gua cari,0,gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.265.481.110,hanifalii23,data_clean_final
Ngetroll lu col,ngetroll lu col,0,,,,1757443404.22655,@tejamilano,dataset_komentarJudol
✯𝙈 𝘼 𝙉 𝙐 𝙏 8 8✯ menjadi pilihan paling sip diantara yang lain,manut88 jadi pilih paling sip antara,1,,,,1756924612.35242,@MyriamBoss,dataset_komentarJudol
Main di А𝐺𝑈𝑆𝘛О𝘛О bikin lupa waktu! Hiburan yang pas banget!,main di gust t bikin lupa waktu hiburan yang pas banget,1,BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.151.189.970,nishizakiKtrinh-w3k,data_clean_final
"Gaya storytelling-nya smooth, vibe-nya kayak konten KYT4️⃣D ☯️",gaya storytelling nya smooth vibe nya kayak konten kyt4d,1,,,,,,dataset_kaggle
Rinz poke di tutorin lunox,rinz poke tutorin lunox,0,,,,1758374724.4231,@muhammadsukron1141,dataset_komentarJudol
Wapres taek,wapres taek,0,ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.419.583.219.770,dikyrudianto4214,data_clean_final
P U L A U W I N tuh kayak simbol ketenangan sekarang 😂,pulauwin tuh kayak simbol ketenangan sekarang,1,,,,,,dataset_kaggle
Makin yakin abis baca review lain tentang ✌✌𝙎𝙂𝙄88.,makin yakin habis baca review lain tentang sgi88,1,,,,,,judi_online
Duo besti aja & marki lagi me time,duo besti aja marki lagi me time,0,,,,,,dataset_kaggle
Nama ini mulai dikenal 📈 Cari di Google 𝗝 𝗨 𝗡 𝗜 𝗢 𝗥 𝟴 𝟴,nama ini mulai dikenal cari di google junior88,1,,,,,,dataset_kaggle
Paling ditunggutunggu,paling ditunggutunggu,0,kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,173.994.701.227.127,Agungkoerniawan_08,data_clean_final
Tolong dong gua kejebak depo DiGa-ruda Ho-ki jd candu bgt🙈,dong gua jebak depo diga ruda ho ki jd candu bgt,1,,,,1755195158.67463,@ChiranjeeviSaragadam,dataset_komentarJudol
